tweet_id, user_id
'505061653797675008','15370187'
'505061656171655168','39530187'
'505061675285090304','361365042'
'505061788401291266','114604564'
'505061823205638145','182304837'
'505061913345413120','184987977'
'505061989404917760','454304530'
'505061993746014209','953695980'
'505062045511737344','309843971'
'505062085110554624','46949094'
'505062148796870657','2704996866'
'505062175367770112','263570528'
'505062200525221889','59514202'
'505062235442380801','43313525'
'505062276622082048','1394361'
'505062337129480192','154046984'
'505062411825868800','85362247'
'505062606806470656','953695980'
'505062841008029697','2586411997'
'505062844581564416','385930352'
'505062890911444992','532429162'
'505063202724777984','104239183'
'505063339614289920','2421822554'
'505063362863312896','2773345938'
'505063503573422080','24253926'
'505063537522540546','24253926'
'505063585706688512','2773517432'
'505063662084558849','2229563150'
'505064062645198848','29766313'
'505064331705212928','321353408'
'505064336725774336','24216744'
'505064336922927104','128641320'
'505064378014924800','44634191'
'505064532943712256','2330112218'
'505064716331659264','2354506712'
'505064796820348929','34713362'
'505064850704568321','1322208427'
'505064873756094464','2250967320'
'505064875727413249','1179710990'
'505064906891485184','210299185'
'505064908481126400','474262986'
'505064930480230401','2776064874'
'505064974281363457','411259340'
'505064992060604416','1648782739'
'505064998960656385','165200750'
'505064999832678400','494113707'
'505065018891567105','845066893'
'505065040798814208','182506310'
'505065060377444352','2723518062'
'505065098902503424','258498259'
'505065106708103168','1217264977'
'505065110269091840','18270633'
'505065116082393089','2760212245'
'505065203894325250','322646255'
'505065205554892800','2214984728'
'505065253420662785','2220345271'
'505065253215150081','253186785'
'505065305870462977','197862470'
'505065341316104192','2564135360'
'505065358466633728','210299185'
'505065441677807618','2385944899'
'505065448702885888','27995302'
'505065449068199936','346564583'
'505065516051234816','19758502'
'505065521562148864','1480514894'
'505065547617558528','204416356'
'505065554647216131','478676451'
'505065562649952256','2512573320'
'505065604236460035','54481103'
'505065609944911873','288083402'
'505065637761544192','29766313'
'505065760100990976','1458288571'
'505065794347466752','1689669984'
'505065798533394432','131187798'
'505065908843196416','124450567'
'505065943236476928','261291238'
'505065969640034305','1136522773'
'505065984198451200','189051033'
'505066047011975168','2759005051'
'505066064678379520','544193337'
'505066100623953920','17324110'
'505066110702854144','2334410965'
'505066114582601728','24493884'
'505066130059575296','2636688229'
'505066188259725313','2368494197'
'505066190772133888','932779740'
'505066219624726528','328831235'
'505066333768134656','919927818'
'505066393499205632','2584262803'
'505066403628470272','771587202'
'505066413892321280','19416649'
'505066440744267776','68663743'
'505066637700386816','2187220087'
'505066639109283840','1322208427'
'505066648055713792','305031452'
'505066715273637889','50843675'
'505066751676411904','25217615'
'505066757900734464','2296518127'
'505066786644328448','233360799'
'505066930039164928','2170378830'
'505066932270546944','990705420'
'505066975434141696','11510672'
'505066984892297216','1056245690'
'505066998729281536','346265521'
'505067013640052737','1633892665'
'505067041611862016','20866538'
'505067058770763776','224797257'
'505067262013747200','432090159'
'505067295148740608','2221546531'
'505067317206597632','2540140712'
'505067352128761857','2421822554'
'505067361486254081','114573522'
'505067363675672576','776940714'
'505067418960814080','164089883'
'505067499080417280','122309663'
'505067530747383808','14155422'
'505067578742415361','72610586'
'505067584614858753','345061624'
'505067608530767873','2214750726'
'505067664709279744','251734392'
'505067673529507840','240832807'
'505067730111053824','22100759'
'505067752202051584','34317032'
'505067845580259329','298532531'
'505068012115070977','838420585'
'505068073460568065','2436985333'
'505068148241231872','2453560706'
'505068215576559616','128085913'
'505068221142429697','2463065714'
'505068320685838336','2438652319'
'505068343057846274','262031791'
'505068362804637696','98337355'
'505068393075331072','90596834'
'505068437581103105','2353063267'
'505068447609659392','952543710'
'505068470338605056','1306700702'
'505068494321623040','90001264'
'505068525837225984','1433767470'
'505068531126251520','23760311'
'505068583454404608','1433767470'
'505068614861328384','294554444'
